s1,s2
mz,wt
bnz,ltn
ut,utm
hgz,spm
spm,zb
ut,uto
dwe,fwd
fwd,hdg
nh,sn
amf,apd
amf,amfs
amf,brn
nm,nml
nm,nmgo
nm,nmh
aml,wdn
aml,amri
aml,vz
kpnz,zl
dron,kpnz
hde,ns
amr,hlo
amr,amrn
dtc,gdr
amfs,avat
gdm,tpsw
tl,tpsw
mes,mtn
dvnk,ledn
ot,tb
btl,ot
ow,rs
kbd,rb
kbd,krg
srn,std
bsd,ldm
kbk,vem
apn,ldl
ldl,ledn
kbw,zd
nkk,pt
nvp,ssh
ledn,ssh
asa,dvd
asb,dvd
pmo,pmr
pmr,pmw
apg,dzw
pmw,zdk
dvn,zv
apn,bsk
brn,sd
ut,utzl
bsd,gdm
kmw,stv
rh,vp
st,stz
rl,vd
ltv,rl
rm,sm
rm,wt
sk,sknd
rsd,rtd
rv,tg
rv,sm
gdm,zbm
rsn,wdn
avat,nkk
mrb,omn
sd,st
gvmw,rsw
ijt,sk
btl,vg
cvm,krd
sbk,sn
rta,rtn
rtb,rtd
rtb,rtz
rtd,rtn
tb,tbu
asd,ass
tg,vl
ass,zd
zd,zdk
nmd,nmgo
nmd,wc
swk,wv
mmlh,nmh
had,hlm
had,hil
ddn,hglg
hgl,hglg
atn,ww
rvs,wc
vd,zp
ledn,vh
hil,vh
dron,lls
gdg,wd
otb,wf
wh,zl
ost,wh
ijt,wk
kma,wm
ampo,wp
leer,wr
wz,zl
hde,wz
hdb,mrb
gbg,hdb
ddr,ddrs
hgl,hglo
almo,lls
almm,ampo
bzl,krg
almb,almo
almb,almp
hfd,nvp
vdm,zb
klp,mrn
gdk,mrb
gdk,vhp
kpn,zl
gdr,tbg
vem,zp
nvd,wdn
kmr,vdl
hgz,mth
hlm,ovn
vdg,vdo
vdg,vdw
nwl,vdo
ddzd,zlw
ddr,ddzd
mss,vdw
mss,msw
hld,msw
edc,ltn
edn,mtr
tbr,tbu
cas,hlo
